Step nSia nVac sinked annihilated
64800000000 0 118 5 51
64900000000 0 118 1 54
65000000000 0 118 0 44
65100000000 0 118 2 48
65200000000 0 118 1 46
65300000000 0 118 5 46
65400000000 0 118 2 56
65500000000 0 118 5 45
65600000000 0 118 4 54
65700000000 0 118 2 50
65800000000 0 118 0 59
65900000000 0 118 5 41
66000000000 0 118 2 46
66100000000 0 118 3 38
66200000000 0 118 2 51
66300000000 0 118 1 52
66400000000 0 118 2 51
66500000000 0 118 5 56
66600000000 0 118 3 50
66700000000 0 118 3 41
66800000000 0 118 4 53
66900000000 0 118 3 53
67000000000 0 118 5 54
67100000000 0 118 3 49
67200000000 0 118 2 49
67300000000 0 118 4 47
67400000000 0 118 3 54
67500000000 0 118 4 61
67600000000 0 118 2 52
67700000000 0 118 1 46
67800000000 0 118 2 49
67900000000 0 118 3 50
68000000000 0 118 1 47
68100000000 0 118 3 40
68200000000 0 118 2 54
68300000000 0 118 3 49
68400000000 0 118 4 44
68500000000 0 118 2 48
68600000000 0 118 7 39
68700000000 0 118 4 50
68800000000 0 118 2 48
68900000000 0 118 0 46
69000000000 0 118 1 49
69100000000 0 118 2 48
69200000000 0 118 3 48
69300000000 0 118 1 50
69400000000 0 118 1 51
69500000000 0 118 4 45
69600000000 0 118 1 37
69700000000 0 118 3 46
69800000000 0 118 6 41
69900000000 0 118 3 53
70000000000 0 118 2 42
70100000000 0 118 1 48
70200000000 0 118 6 39
70300000000 0 118 2 52
70400000000 0 118 1 53
70500000000 0 118 5 51
70600000000 0 118 3 53
70700000000 0 118 5 54
70800000000 0 118 3 49
70900000000 0 118 1 45
71000000000 0 118 6 47
71100000000 0 118 3 44
71200000000 0 118 2 53
71300000000 0 118 5 47
71400000000 0 118 4 55
71500000000 0 118 1 49
71600000000 0 118 7 46
71700000000 0 118 5 42
71800000000 0 118 4 41
71900000000 0 118 0 45
72000000000 0 118 2 51
72100000000 0 118 1 42
72200000000 0 118 1 53
72300000000 0 118 1 42
72400000000 0 118 3 47
72500000000 0 118 3 58
72600000000 0 118 3 43
72700000000 0 118 0 50
72800000000 0 118 1 50
72900000000 0 118 5 48
73000000000 0 118 2 47
73100000000 0 118 1 50
73200000000 0 118 6 50
73300000000 0 118 1 54
73400000000 0 118 2 47
73500000000 0 118 5 41
73600000000 0 118 4 48
73700000000 0 118 3 46
73800000000 0 118 4 41
73900000000 0 117 4 35
74000000000 0 117 0 54
74100000000 0 117 2 39
74200000000 0 117 1 49
74300000000 0 117 2 50
74400000000 0 117 3 50
74500000000 0 117 3 47
74600000000 0 117 0 41
74700000000 0 117 1 43
74800000000 0 117 2 41
74900000000 0 117 4 49
75000000000 0 117 3 47
75100000000 0 117 3 45
75200000000 0 117 2 54
75300000000 0 117 4 45
75400000000 0 117 3 50
75500000000 0 117 2 44
75600000000 0 117 4 47
75700000000 0 117 1 41
75800000000 0 117 3 50
75900000000 0 117 1 56
76000000000 0 117 0 49
76100000000 0 117 4 48
76200000000 0 117 3 44
76300000000 0 117 3 46
76400000000 0 117 2 47
76500000000 0 117 4 40
76600000000 0 117 4 44
76700000000 0 117 2 46
76800000000 0 117 0 56
76900000000 0 117 2 47
77000000000 0 117 0 55
77100000000 0 117 1 49
77200000000 0 117 2 48
77300000000 0 117 1 43
77400000000 0 117 4 47
77500000000 0 117 1 43
77600000000 0 117 1 55
77700000000 0 117 2 51
77800000000 0 117 0 51
77900000000 0 117 1 44
78000000000 0 117 2 52
78100000000 0 117 3 46
78200000000 0 117 2 47
78300000000 0 117 3 52
78400000000 0 117 4 48
78500000000 0 117 0 47
78600000000 0 117 6 46
78700000000 0 117 6 34
78800000000 0 117 2 61
78900000000 1 117 5 48
